Gene Symbol	Gene Identifier	HeLa Phenotype	HeLa Reproducibility Between Primary and Validation Screen	Qiagen reproducibility between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
C10ORF116		"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
EI24	9538	"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
FBXL6	26233	"BC,AF,C"	X	X	yes	gene	actin fibre	big (large) cells	condensed cells						
MIA	8190	"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
PCDH24	54825	"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
POLR2E	5434	"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
PTPN13	5783	"C,BC,AF"	X	X	yes	gene	actin fibre	big (large) cells	condensed cells						
RPL30	6156	"C,BC,AF"	X	X	yes	gene	actin fibre	big (large) cells	condensed cells						
RPL7A		"BC,AF,C"	X	X	yes	gene	actin fibre	big (large) cells	condensed cells						
UBOX5	22888	"BC,AF,C"	X	X	yes	gene	actin fibre	big (large) cells	condensed cells						
WDR21A		"BC,AF,C"		X	yes	gene	actin fibre	big (large) cells	condensed cells						
RAN		"BC,AF,LA"		X	yes	gene	actin fibre	big (large) cells			lammellipodia				
YIPF4	84272	"BC,AF,LA"		X	yes	gene	actin fibre	big (large) cells			lammellipodia				
CD3EAP	10849	"BC,P,AF,M"	X	X	yes	gene	actin fibre	big (large) cells				metaphase		cells with protrusions and elongations	
OVOL1	5017	"N,BC,AF"		X	yes	gene	actin fibre	big (large) cells					normal cells		
CASP8AP2	9994	"BC,P,AF"	X	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
KIAA1026	23254	"BC,P,AF"	X	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
KY	339855	"BC,P,AF"		X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
RAD51	5888	"P,BC,AF"	X	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
TMEM61	199964	"BC,P,AF"	X	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
ATP5G2	517	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
ATP7A		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
BIRC5		"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
C16ORF68	79091	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
CABLES1	91768	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CADM1	23705	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
CAPRIN1	4076	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
CBLC	23624	"BC,AF"			yes	gene	actin fibre	big (large) cells							
CCDC98	84142	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CLN8	2055	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
CORO7	79585	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CSDC2	27254	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CTF1	1489	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CTRC	11330	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CUTA	51596	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CYBRD1	79901	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
DNMT1	1786	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
DUX1		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
ELF3	1999	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
FASLG	356	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
FGFRL1	53834	"AF,BC"	X	X	yes	gene	actin fibre	big (large) cells							
FOSL1		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
FOSL2	2355	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
GNAI1		"BC,BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
GORASP2	26003	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
GSPT1	2935	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
GUCA2A	2980	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
HIST1H2BO	8348	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
KATNAL1		"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
LILRB2	10288	"AF,BC"		X	yes	gene	actin fibre	big (large) cells							
