Gene Symbol	Gene Identifier	U2OS Phenotype	Qiagen Reproducibility Between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MARCH7		"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
AADACL1	57552	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
ABCB10	23456	"BC,Z,M"	X	yes	gene		big (large) cells				metaphase			telophase
ACRC	93953	"N,C,M"	X	yes	gene			condensed cells			metaphase	normal cells		
ADAMTS18	170692	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
ADIPOR2	79602	N	X	yes	gene							normal cells		
AFAP1	60312	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
AGR2	10551	"P,BC"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
AGXT2	64902	LA	X	yes	gene					lammellipodia				
AMTN	401138	"BC,C,M"	X	yes	gene		big (large) cells	condensed cells			metaphase			
ANAPC7		N	X	yes	gene							normal cells		
ANLN	54443	"BC,P,M"	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
AP4E1	23431	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
APBB1IP	54518	C	X	yes	gene			condensed cells						
ARCN1	372	C	X	yes	gene			condensed cells						
ARFGEF1	10565	P	X	yes	gene								cells with protrusions and elongations	
ARHGAP1	392	"N,C"	X	yes	gene			condensed cells				normal cells		
ARHGAP20	57569	N	X	yes	gene							normal cells		
ARHGEF4		BC		yes	gene		big (large) cells							
ARIH2	10425	N		yes	gene							normal cells		
ASF1B	55723	BC		yes	gene		big (large) cells							
ASNSD1	54529	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
ASPH	444	"N,BC"	X	yes	gene		big (large) cells					normal cells		
ATP1B3	483	LA	X	yes	gene					lammellipodia				
ATP5G2	517	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
ATP7A		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
B3GALNT1	8706	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
BCAR3		"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
BCKDHA	593	"C,AF,P"	X	yes	gene	actin fibre		condensed cells					cells with protrusions and elongations	
BCL2L1	598	"N,BC,P"	X	yes	gene		big (large) cells					normal cells	cells with protrusions and elongations	
BEX2		"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
BIN3	55909	N	X	yes	gene							normal cells		
BIRC5		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
BLR1	643	P	X	yes	gene								cells with protrusions and elongations	
BRCC3		"N,M"	X	yes	gene						metaphase	normal cells		
BRD9	65980	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C10ORF116		"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
C11ORF48	79081	"AF,P"	X	yes	gene	actin fibre							cells with protrusions and elongations	
C11ORF61	79684	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
C12ORF24	29902	P	X	yes	gene								cells with protrusions and elongations	
C12ORF59	120939	"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
C13ORF3	221150	"C,M"	X	yes	gene			condensed cells			metaphase			
C15ORF42	90381	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C16ORF68	79091	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
C1ORF177	163747	C	X	yes	gene			condensed cells						
C1QA	712	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
C20ORF20	55257	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C20ORF4	25980	"C,M"	X	yes	gene			condensed cells			metaphase			
C2ORF60	129450	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
C4ORF18	51313	"AF,C"	X	yes	gene	actin fibre		condensed cells						
C6ORF142	90523	C	X	yes	gene			condensed cells						
C6ORF182	285753	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C6ORF204	387119	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C6ORF64	55776	P	X	yes	gene								cells with protrusions and elongations	
C9ORF90	203245	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
CA14	23632	LA	X	yes	gene					lammellipodia				
CABLES1	91768	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CACNA1A		M		yes	gene						metaphase			
CACNA1F		"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
CADM1	23705	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CAPRIN1	4076	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CARS	833	"N,BC"	X	yes	gene		big (large) cells					normal cells		
CASP8AP2	9994	"BC,P,AF"	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
CBLC	23624	C		yes	gene			condensed cells						
CCBE1	147372	P	X	yes	gene								cells with protrusions and elongations	
CCDC114	93233	AF	X	yes	gene	actin fibre								
CCDC132	55610	"BC,P,C"	X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
CCDC142	84865	BC	X	yes	gene		big (large) cells							
CCDC98	84142	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CD33	945	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
CD3EAP	10849	"BC,P,AF,M"	X	yes	gene	actin fibre	big (large) cells				metaphase		cells with protrusions and elongations	
CDC37L1	55664	LA	X	yes	gene					lammellipodia				
CDC42		"P,C,D"	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
CDC6	990	BC	X	yes	gene		big (large) cells							
CDCA5	113130	"M,BC"	X	yes	gene		big (large) cells				metaphase			
CDCA8	55143	"BC,P,M"	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
CDH10	1008	AF	X	yes	gene	actin fibre								
CDKL1	8814	"LA,BC,P"	X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
CDKN2A	1029	"C,M"	X	yes	gene			condensed cells			metaphase			
CEBPD	1052	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
CECR6	27439	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
CENPE	1062	"BC,M"	X	yes	gene		big (large) cells				metaphase			
CENPH	64946	C		yes	gene			condensed cells						
CENPI		"BC,M,P"	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
CEP164	22897	P		yes	gene								cells with protrusions and elongations	
CEP192	55125	"BC,M"	X	yes	gene		big (large) cells				metaphase			
CFL1	1072	N	X	yes	gene							normal cells		
CGRRF1	10668	"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
CHD4	1108	P		yes	gene								cells with protrusions and elongations	
CHEK1	1111	"M,BC"	X	yes	gene		big (large) cells				metaphase			
CHIT1	1118	"AF,C,M"	X	yes	gene	actin fibre		condensed cells			metaphase			
CHN1	1123	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
CHST12	55501	"C,M"	X	yes	gene			condensed cells			metaphase			
CHST5	23563	"P,AF"	X	yes	gene	actin fibre							cells with protrusions and elongations	
CKAP5	9793	"M,P"	X	yes	gene						metaphase		cells with protrusions and elongations	
CLDN11	5010	"N,C"	X	yes	gene			condensed cells				normal cells		
CLDN4		"LA,C"	X	yes	gene			condensed cells		lammellipodia				
CLIC2	1193	"P,AF"	X	yes	gene	actin fibre							cells with protrusions and elongations	
CLN8	2055	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CLPS	1208	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
CLSPN	63967	"BC,P,M,D"	X	yes	gene		big (large) cells		debris		metaphase		cells with protrusions and elongations	
CLTC	1213	"N,C"	X	yes	gene			condensed cells				normal cells		
CLU	1191	"N,AF"	X	yes	gene	actin fibre						normal cells		
CLUAP1	23059	"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
CNTFR	1271	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
COL20A1	57642	BC		yes	gene		big (large) cells							
COL9A3	1299	"AF,C"	X	yes	gene	actin fibre		condensed cells						
COPA	1314	"C,M"	X	yes	gene			condensed cells			metaphase			
COPB1	1315	"M,D"	X	yes	gene				debris		metaphase			
COPB2	9276	"C,M"	X	yes	gene			condensed cells			metaphase			
COPE	11316	"BC,P,C"	X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
COPG	22820	"C,D,P"	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
COPZ1	22818	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
COPZ2	51226	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
CORO7	79585	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
COX6A2	1339	LA	X	yes	gene					lammellipodia				
CPNE5	57699	"AF,C"	X	yes	gene	actin fibre		condensed cells						
CR2	1380	"C,LA,P"	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
CRNKL1	51340	"M,BC,LA"	X	yes	gene		big (large) cells			lammellipodia	metaphase			
CSAD	51380	P		yes	gene								cells with protrusions and elongations	
CSDC2	27254	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CST5	1473	N		yes	gene							normal cells		
CTDSP1	58190	"M,P"	X	yes	gene						metaphase		cells with protrusions and elongations	
CTF1	1489	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CTRC	11330	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CUTA	51596	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CXXC4	80319	"BC,LA,P"	X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
CYBRD1	79901	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
CYP2B6	1555	"BC,LA,M"	X	yes	gene		big (large) cells			lammellipodia	metaphase			
CYR61	3491	"C,N"	X	yes	gene			condensed cells				normal cells		
DAB2	1601	N	X	yes	gene							normal cells		
